updateAt,type,date,name,sheet,unit,housou
2021年11月24日,販売中止,2022年05月01日,ソランタール錠１００ｍｇ,ＰＴＰ,1000錠,
2021年11月24日,販売中止,2022年03月11日,ノイロビタン配合錠,ＰＴＰ,1000錠,
2021年11月24日,出荷調整,2021年11月21日,ロペミンカプセル１ｍｇ,ＰＴＰ,100カプセル,
2021年11月24日,出荷調整,2021年11月21日,ロペミンカプセル１ｍｇ,ＰＴＰ,500カプセル,
2021年11月19日,販売中止,2022年04月01日,フェアストン錠４０,ＰＴＰ,100錠,
2021年11月19日,販売中止,2022年05月01日,フェアストン錠６０,ＰＴＰ,100錠,
2021年11月19日,解除,2021年12月06日,１％ディプリバン注,注射剤,5管,
2021年11月19日,解除,2021年12月06日,１％ディプリバン注,注射剤,1瓶,
2021年11月19日,解除,2022年01月05日,１％ディプリバン注,注射剤,1瓶,
2021年11月19日,解除,2021年12月06日,１％ディプリバン注－キット,注射剤,1筒,
2021年11月19日,解除,2022年03月01日,１％ディプリバン注－キット,注射剤,1筒,
2021年11月17日,出荷調整,2021年11月17日,ユニフィルＬＡ錠１００ｍｇ,ＰＴＰ,100錠,
2021年11月17日,出荷停止,2022年02月11日,ユニフィルＬＡ錠１００ｍｇ,ＰＴＰ,100錠,
2021年11月17日,出荷調整,2021年11月17日,ユニフィルＬＡ錠２００ｍｇ,ＰＴＰ,100錠,
2021年11月17日,出荷停止,2022年06月21日,ユニフィルＬＡ錠２００ｍｇ,ＰＴＰ,100錠,
2021年11月17日,出荷調整,2021年11月17日,ユニフィルＬＡ錠２００ｍｇ,ＰＴＰ,500錠,
2021年11月17日,出荷停止,2022年07月11日,ユニフィルＬＡ錠２００ｍｇ,ＰＴＰ,500錠,
2021年11月17日,出荷調整,2021年11月17日,ユニフィルＬＡ錠２００ｍｇ,バラ,500錠,
2021年11月17日,出荷停止,2023年01月21日,ユニフィルＬＡ錠２００ｍｇ,バラ,500錠,
2021年11月17日,出荷調整,2021年11月17日,ユニフィルＬＡ錠４００ｍｇ,ＰＴＰ,100錠,
2021年11月15日,販売中止,2022年08月01日,スルペラゾンキット静注用１ｇ,注射剤,10キット,
2021年11月15日,販売中止,2022年02月01日,ロナセンテープ４０ｍｇ,包装小,280枚,
2021年11月15日,出荷停止,2021年11月15日,ロプレソール錠４０ｍｇ,ＰＴＰ,100錠,
2021年11月15日,解除,2022年01月01日,ロプレソール錠４０ｍｇ,ＰＴＰ,100錠,
2021年11月11日,解除,2021年11月18日,アスパラ配合錠,ＰＴＰ,100錠,
2021年11月11日,販売中止,2021年11月11日,アスパラ配合錠,ＰＴＰ,1000錠,
2021年11月11日,販売中止,2021年11月11日,アスパラ配合錠,バラ,1000錠,
2021年11月11日,出荷停止,2022年01月11日,アブラキサン点滴静注用１００ｍｇ,注射剤,1瓶,
2021年11月11日,解除,2022年01月01日,アプレゾリン錠１０ｍｇ,ＰＴＰ,100錠,
2021年11月11日,解除,2022年01月01日,アプレゾリン錠２５ｍｇ,ＰＴＰ,100錠,
2021年11月11日,出荷調整,2021年11月11日,シプロキサン錠２００ｍｇ,ＰＴＰ,100錠,
2021年11月11日,販売中止,2021年11月11日,ソロンカプセル１００,ＰＴＰ,100カプセル,
2021年11月11日,販売中止,2021年11月11日,ソロン細粒２０％,バラ,100ｇ,
2021年11月11日,販売中止,2021年11月11日,ソロン細粒２０％,バラ,1000ｇ,
2021年11月11日,販売中止,2021年11月11日,ソロン細粒２０％,分包,45ｇ,
2021年11月11日,販売中止,2021年11月11日,ソロン細粒２０％,分包,600ｇ,
2021年11月11日,販売中止,2021年11月11日,ソロン錠５０,ＰＴＰ,100錠,
2021年11月11日,販売中止,2021年11月11日,ソロン錠５０,ＰＴＰ,1000錠,
2021年11月09日,販売中止,2021年11月09日,ソルコセリル注２ｍＬ,注射剤,10管,
2021年11月09日,販売中止,2021年11月09日,ソルコセリル注４ｍＬ,注射剤,10管,
2021年11月09日,販売中止,2021年11月09日,ソルコセリル膣坐薬,包装小,50個,
2021年11月09日,販売中止,2021年11月09日,ソルコセリル軟膏５％,包装小,200ｇ,
2021年11月09日,販売中止,2021年11月09日,ソルコセリル軟膏５％,調剤用,500ｇ,
2021年11月08日,出荷停止,2021年11月21日,アセトキープ３Ｇ注,注射剤,20袋,
2021年11月08日,出荷調整,2121年11月05日,オメプラゾン錠１０ｍｇ,ＰＴＰ,100錠,
2021年11月08日,出荷調整,2121年11月05日,オメプラゾン錠１０ｍｇ,バラ,500錠,
2021年11月08日,出荷調整,2121年11月05日,オメプラゾン錠２０ｍｇ,ＰＴＰ,100錠,
2021年11月08日,販売中止,2022年01月01日,シプロキサン錠２００ｍｇ,ＰＴＰ,600錠,
2021年11月08日,出荷調整,2021年11月05日,セレジスト錠５ｍｇ,ＰＴＰ,28錠,
2021年11月08日,出荷調整,2021年11月05日,セレジスト錠５ｍｇ,ＰＴＰ,140錠,
2021年11月08日,出荷調整,2021年11月05日,セレジストＯＤ錠５ｍｇ,ＰＴＰ,28錠,
2021年11月08日,出荷調整,2021年11月05日,セレジストＯＤ錠５ｍｇ,ＰＴＰ,140錠,
2021年11月08日,出荷調整,2021年11月08日,チバセン錠２．５ｍｇ,ＰＴＰ,100錠,
2021年11月08日,出荷停止,2021年11月08日,チバセン錠５ｍｇ,ＰＴＰ,100錠,
2021年11月08日,解除,2022年01月01日,チバセン錠５ｍｇ,ＰＴＰ,100錠,
2021年11月08日,販売中止,2022年08月01日,バイナス錠５０ｍｇ,ＰＴＰ,100錠,
2021年11月08日,販売中止,2022年08月01日,バイナス錠７５ｍｇ,ＰＴＰ,100錠,
2021年11月08日,販売中止,2022年08月01日,バイナス錠７５ｍｇ,ＰＴＰ,500錠,
2021年11月08日,解除,2021年11月08日,マイコスポール外用液１％,包装小,100ｍＬ,
2021年11月05日,販売中止,2022年05月01日,リピディル錠５３．３ｍｇ,ＰＴＰ,700錠,
2021年11月05日,販売中止,2022年08月01日,リピディル錠５３．３ｍｇ,バラ,500錠,
2021年11月05日,販売中止,2022年05月01日,リピディル錠８０ｍｇ,ＰＴＰ,700錠,
2021年11月05日,販売中止,2022年06月01日,リピディル錠８０ｍｇ,ＰＴＰ,1000錠,
2021年11月05日,販売中止,2022年08月01日,リピディル錠８０ｍｇ,バラ,500錠,
2021年11月01日,出荷調整,2021年11月01日,タケプロンカプセル１５,ＰＴＰ,100カプセル,
2021年11月01日,出荷調整,2021年11月01日,タケプロンカプセル１５,ＰＴＰ,500カプセル,
2021年11月01日,出荷調整,2021年11月01日,タケプロンカプセル１５,ＰＴＰ,140カプセル,
2021年11月01日,出荷調整,2021年11月01日,タケプロンカプセル１５,ＰＴＰ,700カプセル,
2021年11月01日,出荷調整,2021年11月01日,タケプロンカプセル１５,バラ,500カプセル,
2021年11月01日,出荷調整,2021年11月01日,タケプロンカプセル３０,ＰＴＰ,100カプセル,
2021年11月01日,出荷調整,2021年11月01日,タケプロンカプセル３０,ＰＴＰ,500カプセル,
2021年11月01日,出荷調整,2021年11月01日,タケプロンＯＤ錠１５,ＰＴＰ,100錠,
2021年11月01日,出荷調整,2021年11月01日,タケプロンＯＤ錠１５,ＰＴＰ,500錠,
2021年11月01日,出荷調整,2021年11月01日,タケプロンＯＤ錠１５,ＰＴＰ,700錠,
2021年11月01日,出荷調整,2021年11月01日,タケプロンＯＤ錠１５,ＰＴＰ,140錠,
2021年11月01日,出荷調整,2021年11月01日,タケプロンＯＤ錠１５,バラ,200錠,
2021年11月01日,解除,2021年11月01日,バソレーターテープ２７ｍｇ,包装小,35枚,
2021年11月01日,解除,2021年11月01日,バソレーターテープ２７ｍｇ,包装小,140枚,
2021年11月01日,解除,2021年11月01日,バソレーターテープ２７ｍｇ,包装小,350枚,
2021年11月01日,出荷停止,2021年12月01日,バルネチール細粒５０％,バラ,100ｇ,
2021年11月01日,出荷停止,2021年11月01日,バルネチール錠５０,ＰＴＰ,100錠,
2021年11月01日,解除,2022年01月01日,バルネチール錠５０,ＰＴＰ,100錠,
2021年11月01日,出荷停止,2021年12月01日,ヒスタブロック配合錠,ＰＴＰ,100錠,
2021年11月01日,出荷停止,2021年12月01日,ヒスタブロック配合錠,ＰＴＰ,1000錠,
2021年11月01日,出荷調整,2020年05月01日,ベオーバ錠５０ｍｇ,ＰＴＰ,140錠,
2021年11月01日,解除,2021年11月01日,ベタナミン錠１０ｍｇ,ＰＴＰ,100錠,
2021年11月01日,解除,2021年11月01日,ベタナミン錠２５ｍｇ,ＳＰ,100錠,
2021年11月01日,解除,2021年11月01日,ベタナミン錠５０ｍｇ,ＳＰ,100錠,
2021年11月01日,出荷停止,2021年12月01日,ルシドリール錠１００ｍｇ,ＰＴＰ,100錠,
2021年11月01日,販売中止,2022年03月01日,レビトラ錠１０ｍｇ,ＰＴＰ,20錠,
2021年11月01日,出荷停止,2021年11月01日,レビトラ錠１０ｍｇ,ＰＴＰ,40錠,
2021年11月01日,販売中止,2021年11月01日,レビトラ錠２０ｍｇ,ＰＴＰ,20錠,
2021年11月01日,出荷停止,2021年11月01日,レビトラ錠２０ｍｇ,ＰＴＰ,40錠,
2021年11月01日,販売中止,2022年03月01日,レビトラ錠５ｍｇ,ＰＴＰ,10錠,
2021年11月01日,解除,2021年11月01日,ワンアルファ錠０．２５μｇ,ＰＴＰ,100錠,
2021年11月01日,解除,2021年11月01日,ワンアルファ錠０．２５μｇ,ＰＴＰ,500錠,
2021年11月01日,解除,2021年11月01日,ワンアルファ錠０．２５μｇ,ＰＴＰ,1000錠,
2021年11月01日,解除,2021年11月01日,ワンアルファ錠０．５μｇ,ＰＴＰ,100錠,
2021年11月01日,解除,2021年11月01日,ワンアルファ錠０．５μｇ,ＰＴＰ,500錠,
2021年11月01日,解除,2021年11月01日,ワンアルファ錠０．５μｇ,ＰＴＰ,1000錠,
2021年11月01日,解除,2021年11月01日,ワンアルファ錠１．０μｇ,ＰＴＰ,100錠,
2021年11月01日,解除,2021年11月01日,ワンアルファ錠１．０μｇ,ＰＴＰ,500錠,
2021年11月01日,解除,2021年11月01日,ワンアルファ錠１．０μｇ,ＰＴＰ,1000錠,
2021年10月29日,解除,2021年11月01日,アルファロールカプセル０．２５μｇ,ＰＴＰ,100カプセル,
2021年10月29日,解除,2021年11月01日,アルファロールカプセル０．２５μｇ,ＰＴＰ,500カプセル,
2021年10月29日,解除,2021年11月01日,アルファロールカプセル０．２５μｇ,バラ,500カプセル,
2021年10月29日,解除,2021年11月01日,アルファロールカプセル０．２５μｇ,ＰＴＰ,700カプセル,
2021年10月29日,解除,2021年11月01日,アルファロールカプセル０．５μｇ,ＰＴＰ,100カプセル,
2021年10月29日,解除,2021年11月01日,アルファロールカプセル０．５μｇ,ＰＴＰ,500カプセル,
2021年10月29日,解除,2021年11月01日,アルファロールカプセル０．５μｇ,バラ,500カプセル,
2021年10月29日,解除,2021年11月01日,アルファロールカプセル０．５μｇ,ＰＴＰ,700カプセル,
2021年10月29日,解除,2021年11月01日,アルファロールカプセル１μｇ,ＰＴＰ,100カプセル,
2021年10月29日,解除,2021年11月01日,アルファロールカプセル１μｇ,ＰＴＰ,500カプセル,
2021年10月29日,解除,2021年11月01日,アルファロールカプセル１μｇ,バラ,500カプセル,
2021年10月29日,解除,2021年11月01日,アルファロールカプセル１μｇ,ＰＴＰ,700カプセル,
2021年10月29日,解除,2021年11月01日,アルファロールカプセル３μｇ,ＰＴＰ,100カプセル,
2021年10月29日,解除,2021年11月01日,アルファロール内用液０．５μｇ／ｍＬ,包装小,10ｍＬ,
2021年10月29日,解除,2021年11月01日,アルファロール散１μｇ／ｇ,分包,30ｇ,
2021年10月29日,解除,2021年11月01日,アルファロール散１μｇ／ｇ,分包,60ｇ,
2021年10月29日,解除,2021年11月01日,アルファロール散１μｇ／ｇ,分包,120ｇ,
2021年10月29日,解除,2021年11月01日,アルファロール散１μｇ／ｇ,バラ,100ｇ,
2021年10月29日,解除,2021年10月29日,エクセラーゼ配合錠,ＰＴＰ,1200錠,
2021年10月29日,解除,2021年10月29日,エクセラーゼ配合錠,ＰＴＰ,2100錠,
2021年10月29日,解除,2021年10月29日,エクセラーゼ配合錠,バラ,3000錠,
2021年10月29日,出荷調整,2021年10月29日,テグレトール細粒５０％,バラ,100ｇ,
2021年10月29日,出荷調整,2021年10月29日,テグレトール錠１００ｍｇ,ＰＴＰ,100錠,
2021年10月29日,出荷調整,2021年10月29日,テグレトール錠１００ｍｇ,バラ,500錠,
2021年10月29日,出荷調整,2021年10月29日,テグレトール錠２００ｍｇ,ＰＴＰ,100錠,
2021年10月29日,出荷調整,2021年10月29日,テグレトール錠２００ｍｇ,バラ,500錠,
2021年10月29日,出荷調整,2021年10月29日,テルネリン顆粒０．２％,バラ,100ｇ,
2021年10月29日,販売中止,2022年05月01日,ポトレンド配合錠,ＰＴＰ,100錠,
2021年10月29日,販売中止,2022年05月01日,ポトレンド配合錠,ＰＴＰ,1000錠,
2021年10月29日,出荷調整,2021年10月29日,ラミシール錠１２５ｍｇ,ＰＴＰ,100錠,
2021年10月29日,解除,2021年11月01日,ロカルトロールカプセル０．２５,ＰＴＰ,100カプセル,
2021年10月29日,解除,2021年11月01日,ロカルトロールカプセル０．２５,ＰＴＰ,500カプセル,
2021年10月29日,解除,2021年11月01日,ロカルトロールカプセル０．２５,バラ,500カプセル,
2021年10月29日,解除,2021年11月01日,ロカルトロールカプセル０．５,ＰＴＰ,100カプセル,
2021年10月29日,解除,2021年11月01日,ロカルトロールカプセル０．５,ＰＴＰ,500カプセル,
2021年10月29日,解除,2021年11月01日,ロカルトロールカプセル０．５,バラ,500カプセル,
2021年10月29日,出荷調整,2021年10月29日,ローコール錠２０ｍｇ,バラ,500錠,
2021年10月28日,出荷調整,2021年11月05日,フォリルモンＰ注１５０,注射剤,10管,
2021年10月28日,出荷調整,2021年11月05日,フォリルモンＰ注７５,注射剤,10管,
2021年10月26日,出荷調整,2021年02月25日,イミドール糖衣錠（１０）,ＰＴＰ,100錠,
2021年10月26日,出荷調整,2021年02月25日,イミドール糖衣錠（１０）,ＰＴＰ,1000錠,
2021年10月26日,出荷調整,2021年02月25日,イミドール糖衣錠（２５）,ＰＴＰ,100錠,
2021年10月26日,出荷調整,2021年02月25日,イミドール糖衣錠（２５）,ＰＴＰ,1000錠,
2021年10月26日,出荷調整,2021年10月26日,ソマゾン注射用１０ｍｇ,注射剤,1瓶,
2021年10月26日,解除,2021年10月26日,ゾラデックス３．６ｍｇデポ,注射剤,1筒,
2021年10月26日,解除,2021年10月26日,ゾラデックス３．６ｍｇデポ,注射剤,1筒,
2021年10月26日,解除,2021年10月26日,ゾラデックス３．６ｍｇデポ,注射剤,5筒,
2021年10月26日,解除,2021年10月26日,ゾラデックス３．６ｍｇデポ,注射剤,5筒,
2021年10月26日,解除,2021年10月26日,ゾラデックスＬＡ１０．８ｍｇデポ,注射剤,1筒,
2021年10月26日,解除,2021年10月26日,ゾラデックスＬＡ１０．８ｍｇデポ,注射剤,1筒,
2021年10月25日,出荷調整,2021年01月15日,エンセバック皮下注用,注射剤,1瓶,
2021年10月25日,出荷調整,2021年10月25日,オメプラール錠１０,ＰＴＰ,100錠,
2021年10月25日,出荷調整,2021年10月25日,オメプラール錠１０,ＰＴＰ,100錠,
2021年10月25日,出荷調整,2021年10月25日,オメプラール錠１０,ＰＴＰ,140錠,
2021年10月25日,出荷調整,2021年10月25日,オメプラール錠１０,ＰＴＰ,140錠,
2021年10月25日,出荷調整,2021年10月25日,オメプラール錠１０,ＰＴＰ,500錠,
2021年10月25日,出荷調整,2021年10月25日,オメプラール錠１０,ＰＴＰ,500錠,
2021年10月25日,出荷調整,2021年10月25日,オメプラール錠２０,ＰＴＰ,100錠,
2021年10月25日,出荷調整,2021年10月25日,オメプラール錠２０,ＰＴＰ,100錠,
2021年10月25日,出荷調整,2021年10月25日,オメプラール錠２０,ＰＴＰ,140錠,
2021年10月25日,出荷調整,2021年10月25日,オメプラール錠２０,ＰＴＰ,140錠,
2021年10月25日,出荷調整,2021年10月25日,オメプラール錠２０,ＰＴＰ,500錠,
2021年10月25日,出荷調整,2021年10月25日,オメプラール錠２０,ＰＴＰ,500錠,
2021年10月25日,解除,2021年11月24日,オラネジン液１．５％消毒用アプリケータ１０ｍＬ,包装小,30管,
2021年10月25日,解除,2021年11月24日,オラネジン液１．５％消毒用アプリケータ２５ｍＬ,包装小,30管,
2021年10月25日,出荷調整,2021年08月24日,クレメジンカプセル２００ｍｇ,ＰＴＰ,1000カプセル,
2021年10月25日,出荷調整,2021年08月24日,クレメジン細粒分包２ｇ,分包,168ｇ,
2021年10月25日,販売中止,2022年10月01日,スピロペント錠１０μｇ,ＰＴＰ,700錠,
2021年10月25日,販売中止,2022年08月01日,スピロペント錠１０μｇ,バラ,1000錠,
2021年10月25日,出荷調整,2021年09月21日,セレニカＲ錠２００ｍｇ,ＰＴＰ,100錠,
2021年10月25日,出荷調整,2021年09月21日,セレニカＲ錠２００ｍｇ,ＰＴＰ,1000錠,
2021年10月25日,出荷調整,2021年09月21日,セレニカＲ錠４００ｍｇ,ＰＴＰ,100錠,
2021年10月25日,出荷調整,2021年09月21日,セレニカＲ顆粒４０％,バラ,100ｇ,
2021年10月25日,出荷調整,2021年09月21日,セレニカＲ顆粒４０％,バラ,500ｇ,
2021年10月25日,出荷停止,2022年01月01日,トブラシン点眼液０．３％,包装小,25ｍＬ,
2021年10月25日,出荷停止,2021年12月01日,トブラシン点眼液０．３％,包装小,50ｍＬ,
2021年10月25日,出荷停止,2021年12月21日,トブラシン点眼液０．３％,包装小,250ｍＬ,
2021年10月25日,出荷調整,2021年08月23日,ノバスタンＨＩ注１０ｍｇ／２ｍＬ,注射剤,10管,
2021年10月25日,販売中止,2022年11月01日,ボンアルファ軟膏２μｇ／ｇ,調剤用,100ｇ,
2021年10月25日,販売中止,2022年07月01日,ムコソルバン錠１５ｍｇ,バラ,1000錠,
2021年10月25日,販売中止,2022年03月01日,ワンアルファ錠０．２５μｇ,ＰＴＰ,700錠,
2021年10月25日,販売中止,2022年01月01日,ワンアルファ錠０．２５μｇ,バラ,500錠,
2021年10月25日,販売中止,2022年03月01日,ワンアルファ錠０．５μｇ,ＰＴＰ,700錠,
2021年10月25日,販売中止,2022年03月01日,ワンアルファ錠０．５μｇ,バラ,500錠,
2021年10月25日,販売中止,2022年03月01日,ワンアルファ錠１．０μｇ,ＰＴＰ,700錠,
2021年10月25日,販売中止,2022年03月01日,ワンアルファ錠１．０μｇ,バラ,500錠,
2021年10月22日,出荷調整,2021年10月22日,アセトアミノフェン細粒２０％（ＴＹＫ）,バラ,1000ｇ,
2021年10月22日,出荷調整,2021年10月22日,アセトアミノフェン細粒２０％（ＴＹＫ）,分包,120ｇ,
2021年10月22日,出荷調整,2021年10月22日,デパケン細粒２０％,バラ,100ｇ,
2021年10月22日,出荷調整,2021年10月22日,デパケン細粒２０％,バラ,500ｇ,
2021年10月22日,出荷調整,2021年10月22日,デパケン細粒４０％,バラ,100ｇ,
2021年10月22日,出荷調整,2021年10月22日,デパケン細粒４０％,バラ,500ｇ,
2021年10月22日,出荷調整,2021年10月22日,デパケン細粒４０％,分包,60ｇ,
2021年10月22日,出荷調整,2021年10月22日,デパケン細粒４０％,分包,120ｇ,
2021年10月22日,出荷調整,2021年09月15日,デパケン錠１００ｍｇ,ＰＴＰ,100錠,
2021年10月22日,出荷調整,2021年10月22日,デパケン錠１００ｍｇ,ＰＴＰ,1000錠,
2021年10月22日,出荷調整,2021年09月15日,デパケン錠２００ｍｇ,ＰＴＰ,100錠,
2021年10月22日,出荷調整,2021年09月15日,デパケン錠２００ｍｇ,ＰＴＰ,1000錠,
2021年10月22日,出荷調整,2021年10月22日,デパケンＲ錠１００ｍｇ,ＰＴＰ,100錠,
2021年10月22日,出荷調整,2021年10月22日,デパケンＲ錠１００ｍｇ,ＰＴＰ,1000錠,
2021年10月22日,出荷調整,2021年10月22日,デパケンＲ錠１００ｍｇ,バラ,1000錠,
2021年10月22日,出荷調整,2021年09月15日,デパケンＲ錠２００ｍｇ,ＰＴＰ,100錠,
2021年10月22日,出荷調整,2021年09月15日,デパケンＲ錠２００ｍｇ,ＰＴＰ,1000錠,
2021年10月22日,出荷調整,2021年09月15日,デパケンＲ錠２００ｍｇ,バラ,1000錠,
2021年10月21日,出荷停止,2021年10月21日,セパミット細粒１％,分包,600ｇ,
2021年10月21日,出荷停止,2021年10月21日,セパミット細粒１％,バラ,250ｇ,
2021年10月21日,出荷調整,2021年08月18日,セレキノン錠１００ｍｇ,ＰＴＰ,100錠,
2021年10月21日,出荷調整,2021年08月18日,セレキノン錠１００ｍｇ,ＰＴＰ,1000錠,
2021年10月21日,出荷調整,2021年08月18日,セレキノン錠１００ｍｇ,バラ,500錠,
2021年10月21日,出荷調整,2021年10月21日,ファモター配合錠Ａ８１,ＰＴＰ,100錠,
2021年10月21日,出荷調整,2021年10月21日,ファモター配合錠Ａ８１,ＰＴＰ,1000錠,
2021年10月20日,解除,2021年10月20日,ガニレスト皮下注０．２５ｍｇシリンジ,注射剤,1シリンジ,
2021年10月20日,出荷調整,2021年10月20日,ナウゼリンドライシロップ１％,バラ,120ｇ,
2021年10月20日,出荷調整,2021年10月20日,ナウゼリン錠５,ＰＴＰ,100錠,
2021年10月20日,出荷調整,2021年10月20日,ナウゼリン錠５,ＰＴＰ,1000錠,
2021年10月20日,出荷調整,2021年10月20日,ナウゼリンＯＤ錠５,ＰＴＰ,100錠,
2021年10月20日,出荷調整,2021年10月20日,ナウゼリンＯＤ錠５,ＰＴＰ,1000錠,
2021年10月20日,出荷調整,2021年10月20日,ファボワール錠２１,ＰＴＰ,210錠,
2021年10月20日,出荷調整,2021年10月20日,ファボワール錠２８,ＰＴＰ,280錠,
2021年10月20日,出荷調整,2021年10月20日,マーベロン２１,ＰＴＰ,210錠,
